cod_autor,nome,nacionalidade
1,Carolina Pires,Dhekelia
2,Bernardo Moreira,Togo
3,André da Mota,Nova Caledónia
4,Alexia da Cunha,Hong Kong
5,Ana Lívia Albuquerque,Estados Unidos
6,Marcela das Neves,Liechtenstein
7,Luiz Felipe Brito,Canadá
8,Dr. José Miguel Souza,Iran
9,Benjamim Borges,Cuba
10,Matheus Novais,Coreia do Sul
11,Vicente Souza,Congo-Kinshasa
12,Sra. Helena Lopes,Singapura
13,Luana Barros,Ilha Wake
14,Thales Ribeiro,Etiópia
15,Bernardo Pimenta,Omã
16,Otávio Montenegro,Andorra
17,Dra. Daniela Gomes,Antígua e Barbuda
18,Sofia Araújo,Níger
19,Léo da Paz,França
20,Sra. Sabrina da Paz,Svalbard e Jan Mayen
21,Hellena Vargas,Congo-Brazzaville
22,Esther Pereira,Ruanda
23,Théo Garcia,Turquia
24,Stephany da Rocha,Reino Unido
25,Dra. Raquel Campos,Suazilândia
26,Maysa Porto,Groenlândia
27,Eloah Rodrigues,Suriname
28,José Miguel Abreu,Colômbia
29,Isabella Aragão,Namíbia
30,Jade Teixeira,Malta
31,Leandro Rios,Zâmbia
32,Sofia Garcia,Singapura
33,Gustavo Gonçalves,Birmânia
34,Arthur Gabriel Cardoso,México
35,Clara Aragão,Equador
36,Valentim da Costa,Jordânia
37,Miguel Mendonça,Argélia
38,Stephany Nascimento,Peru
39,Davi Miguel Pereira,Usbequistão
40,Matteo Pimenta,Tonga
41,Rael Teixeira,Congo-Brazzaville
42,Marcelo Sales,Costa Rica
43,Théo Vieira,Polinésia Francesa
44,Sr. Isaque Borges,Ilhas Virgens Britânicas
45,Sr. Alexandre Correia,Navassa Island
46,Maria Eduarda Lopes,África do Sul
47,Rhavi Silva,Nova Caledónia
48,Maria Luiza Rocha,Polinésia Francesa
49,Ayla Leão,Santa Lúcia
50,Raquel Lima,Domínica
51,Sophia Sousa,Samoa
52,Caroline Rodrigues,Samoa Americana
53,Ana Liz Silveira,Ashmore and Cartier Islands
54,Yan Barros,Anguila
55,Maria Liz Moura,Bélgica
56,Dra. Joana Aparecida,Marianas do Norte
57,Dra. Rebeca Gonçalves,Polônia
58,Erick Fernandes,Ilha Bouvet
59,Heitor Araújo,São Cristóvão e Neves
60,Hadassa Gomes,Navassa Island
61,Caio Martins,Tajiquistão
62,Stephany Duarte,Dhekelia
63,Augusto Azevedo,Burquina Faso
64,Eloah Caldeira,Níger
65,Isabela Santos,Navassa Island
66,Bruno Monteiro,Birmânia
67,Emanuella Câmara,Dinamarca
68,Emanuelly Lima,Samoa
69,Srta. Stella da Costa,Mongólia
70,Marcelo Albuquerque,Kuwait
71,Maria das Neves,Paquistão
72,Maysa Sá,Clipperton Island
73,Eduardo Abreu,Cuba
74,Camila Farias,França
75,Marina Fernandes,Polônia
76,Isabella Moreira,Indonésia
77,Catarina Peixoto,Iêmen
78,Davi Freitas,Ruanda
79,Davi Lucas Novais,Ilhas Marshall
80,Vitor Ramos,Suécia
81,Dra. Mariane Alves,Grécia
82,Stephany Gomes,Trindade e Tobago
83,Sr. Lorenzo Cassiano,Finlândia
84,Yasmin Costela,Iêmen
85,Isabella Vargas,Honduras
86,Sr. Juan Dias,Emirados Árabes Unidos
87,Maria Laura Duarte,Paraguai
88,Mariah Costa,Iêmen
89,Pietra Araújo,Bélgica
90,Sr. Pedro Casa Grande,São Tomé e Príncipe
91,Cecília Ribeiro,Macedônia do Norte
92,Júlia Casa Grande,Quênia
93,Juliana Aparecida,Venezuela
94,Jade Moura,Ilha do Natal
95,Anna Liz Vasconcelos,Burundi
96,Lívia Cavalcanti,Antártica
97,Emanuella Pereira,Jersey
98,Theodoro Azevedo,Marianas do Norte
99,Théo Cavalcanti,Birmânia
100,Zoe Farias,Quirguizistão
101,Igor da Costa,Faroé
102,Antony da Cunha,Canadá
103,Benjamin Camargo,Pitcairn
104,Gabriel Câmara,Argentina
105,Ísis Teixeira,Turquia
