cod_item,cod_pedido,cod_livro,quantidade,preco_unitario
1,16013,23461,4,31.16
2,2941,26734,2,106.79
3,1688,25084,4,84.51
4,19847,239,4,164.81
5,23457,2317,3,29.89
6,3473,24144,4,170.73
7,13048,26260,3,157.9
8,23083,7600,3,26.65
9,1002,1829,5,101.23
10,28013,16696,5,112.93
11,20439,15590,4,116.56
12,6430,25169,5,52.83
13,6797,6105,5,58.74
14,10586,27714,3,162.08
15,28798,5764,5,89.82
16,8568,22125,2,126.4
17,7257,28131,5,61.98
18,17738,23095,5,138.4
19,12449,14394,4,167.69
20,28417,17200,1,81.48
21,12638,2204,1,88.86
22,25112,7870,4,167.97
23,9021,16923,5,138.86
24,8541,14857,3,51.44
25,16400,3930,4,73.07
26,16757,15917,1,146.36
27,20162,16398,2,48.77
28,26631,3343,2,137.62
29,7422,2508,5,118.17
30,20745,24688,5,127.15
31,18840,14928,1,52.75
32,7271,28718,4,128.72
33,29732,28054,4,104.42
34,3395,3545,2,58.84
35,17284,18614,4,138.52
36,3125,248,4,166.53
37,11921,6390,2,150.12
38,4457,27273,2,29.97
39,16597,4412,1,52.54
40,4337,23050,1,138.79
41,11403,12300,2,53.98
42,21764,22557,2,29.58
43,15755,23796,2,140.52
44,15797,23239,5,85.54
45,25357,21636,1,34.39
46,26016,17004,2,87.6
47,27066,26153,3,71.77
48,234,5649,4,73.84
49,16855,21902,4,129.49
50,18812,25170,3,102.27
51,18092,14854,3,76.2
52,1215,3003,2,89.78
53,13625,17361,2,111.86
54,3659,3769,3,46.79
55,23641,10474,1,179.44
56,1603,613,2,72.35
57,14130,12890,5,157.42
58,16876,633,2,67.14
59,11996,10010,2,74.67
60,6851,25983,5,60.47
61,15896,23877,2,36.04
62,25276,29909,5,128.48
63,23899,21777,2,56.13
64,4939,1785,3,28.87
65,21422,2000,2,58.84
66,22188,21479,5,56.53
67,10092,16356,3,58.28
68,15431,10012,2,115.64
69,28844,7776,3,43.57
70,3394,11594,5,36.23
71,25890,19234,1,68.72
72,91,19888,5,43.04
73,18441,7173,5,55.39
74,15556,20069,1,112.38
75,13357,1886,2,96.45
76,17924,18204,3,106.55
77,12216,22017,3,85.55
78,10358,2680,5,49.38
79,24175,4669,4,147.06
80,22583,20231,4,122.68
81,28650,16580,3,96.81
82,6161,27558,2,46.96
83,18487,27704,5,147.06
84,3896,16584,1,119.51
85,7588,14446,2,175.55
86,997,29702,4,153.4
87,12993,14556,5,158.31
88,19090,24619,3,166.61
89,2272,9380,1,121.9
90,23700,4382,5,178.09
91,6515,1389,3,103.88
92,3005,6028,1,127.47
93,8867,19273,3,148.91
94,16991,5875,5,102.96
95,9820,6760,4,107.84
96,14682,23038,5,102.37
97,4866,1188,5,48.75
98,20831,18907,2,122.16
99,14114,7952,3,120.41
100,7654,1466,3,51.11
101,12805,22164,4,70.92
102,17954,19241,4,154.6
103,6751,15023,1,165.51
104,12497,259,5,69.7
105,20502,16565,3,125.75
106,21025,15783,5,162.18
107,22040,5084,2,149.25
108,22648,11896,4,141.53
109,17159,16459,3,26.28
110,5406,12382,4,87.73
111,18236,10303,2,157.06
112,14466,4336,5,108.09
113,29928,29757,4,30.75
114,705,1229,1,150.3
115,19882,7334,4,72.86
116,19524,9078,1,79.86
