cod_livro,titulo,cod_autor,cod_editora,cod_categoria,ano_publicacao,preco
1,O poder de concretizar seus projetos simplesmente,4279,493,26,2011,137.83
2,A possibilidade de ganhar mais rapidamente,2292,857,15,2014,118.25
3,O poder de evoluir com força total,917,232,71,2024,170.3
4,A possibilidade de ganhar em estado puro,458,105,82,2013,112.58
5,A vantagem de inovar antes de tudo,1498,454,16,2019,75.44
6,A possibilidade de mudar sem preocupação,3027,334,98,1994,148.02
7,A segurança de ganhar naturalmente,2642,857,37,2000,157.47
8,A simplicidade de concretizar seus projetos mais rapidamente,1885,349,47,2014,125.0
9,A segurança de atingir seus objetivos mais facilmente,1970,248,25,2003,128.59
10,O poder de mudar direto da fonte,1854,536,78,2003,29.8
11,O prazer de ganhar mais rapidamente,2923,553,41,1995,107.7
12,A liberdade de conseguir direto da fonte,1404,971,71,2010,63.56
13,O conforto de inovar mais rapidamente,953,457,40,1991,61.61
14,A simplicidade de mudar com força total,3429,816,67,2000,95.12
15,O poder de conseguir com toda a tranquilidade,3354,327,47,2013,165.58
16,O poder de conseguir de maneira eficaz,3789,972,29,2012,92.46
17,A possibilidade de mudar naturalmente,2877,182,90,2010,141.54
18,O poder de conseguir em estado puro,907,14,4,1996,144.96
19,O poder de realizar seus sonhos naturalmente,4188,409,97,2007,31.2
20,A arte de mudar naturalmente,1552,357,93,2008,34.3
21,A liberdade de mudar com confiança,3360,466,14,2006,77.62
22,O conforto de atingir seus objetivos com confiança,4218,751,93,2002,78.23
23,O conforto de concretizar seus projetos simplesmente,4574,661,31,2011,55.05
24,A vantagem de evoluir com toda a tranquilidade,1159,676,17,2014,30.35
25,A possibilidade de avançar sem preocupação,644,820,55,2018,84.72
26,O conforto de inovar sem preocupação,155,830,98,1995,64.35
27,A liberdade de ganhar com força total,2197,286,80,1999,71.79
28,A segurança de inovar mais rapidamente,2711,656,42,2020,48.92
29,O conforto de avançar direto da fonte,2200,476,52,2002,63.79
30,A certeza de ganhar mais rapidamente,2709,179,62,1992,103.76
31,O direito de realizar seus sonhos com toda a tranquilidade,4541,466,75,1999,34.81
32,A arte de ganhar naturalmente,2120,373,5,2006,165.0
33,O prazer de mudar de maneira eficaz,264,97,52,1996,103.14
34,A vantagem de inovar mais rapidamente,4789,26,88,2005,64.74
35,A possibilidade de mudar simplesmente,2316,949,45,2002,106.27
36,O direito de avançar antes de tudo,1168,278,26,2006,37.02
37,A arte de ganhar sem preocupação,3706,860,35,2015,85.52
38,A vantagem de ganhar em estado puro,230,339,42,2023,113.92
39,O poder de evoluir em estado puro,3458,550,56,1995,39.82
40,A arte de atingir seus objetivos mais rapidamente,3664,667,37,2010,79.97
41,A certeza de conseguir naturalmente,1397,91,80,2000,91.89
42,O conforto de evoluir sem preocupação,4347,983,6,2010,122.77
43,A possibilidade de mudar mais facilmente,2842,843,19,2002,114.38
44,O conforto de avançar em estado puro,908,804,94,2016,178.66
45,A simplicidade de avançar em estado puro,1182,337,24,1991,148.3
46,A certeza de mudar sem preocupação,117,417,44,2010,59.24
47,A segurança de concretizar seus projetos antes de tudo,1007,487,57,2021,140.92
48,O poder de avançar naturalmente,1795,54,29,2018,35.68
49,O direito de ganhar com força total,1097,670,50,2018,107.03
50,A vantagem de avançar naturalmente,639,988,84,1994,31.32
51,A segurança de realizar seus sonhos com força total,4275,581,63,1997,83.75
52,A certeza de ganhar naturalmente,422,759,54,2011,64.56
53,O conforto de conseguir naturalmente,173,902,24,1996,175.14
54,A arte de conseguir mais rapidamente,3924,955,6,2022,91.58
55,A possibilidade de evoluir com força total,1645,466,12,1996,149.2
56,A possibilidade de mudar antes de tudo,3208,271,61,2023,33.09
57,O conforto de realizar seus sonhos de maneira eficaz,664,878,72,1997,72.15
58,A liberdade de conseguir simplesmente,1215,655,61,2022,53.87
59,A possibilidade de inovar de maneira eficaz,2972,797,72,2007,179.4
60,A simplicidade de atingir seus objetivos mais facilmente,284,198,7,2023,132.02
61,O prazer de realizar seus sonhos naturalmente,2193,814,32,2002,36.63
62,A possibilidade de atingir seus objetivos com força total,2474,265,42,2006,32.91
63,A simplicidade de mudar direto da fonte,2869,587,34,2019,113.06
64,A arte de concretizar seus projetos mais facilmente,4410,936,32,2014,108.58
65,A segurança de evoluir mais rapidamente,1657,315,83,2011,122.67
66,A simplicidade de concretizar seus projetos direto da fonte,3478,468,94,1996,138.64
67,A arte de atingir seus objetivos antes de tudo,3967,67,13,1992,161.43
68,O prazer de atingir seus objetivos direto da fonte,4619,175,75,1998,45.56
69,O poder de concretizar seus projetos sem preocupação,4694,698,8,2020,111.03
70,O poder de avançar naturalmente,3976,853,100,2012,166.67
71,A possibilidade de mudar com confiança,1500,425,83,2022,140.36
72,A certeza de avançar simplesmente,3289,734,21,2015,171.11
73,A certeza de evoluir de maneira eficaz,184,856,73,1998,96.8
74,O conforto de atingir seus objetivos mais rapidamente,3415,723,18,1999,154.29
75,O conforto de concretizar seus projetos mais facilmente,28,794,24,2003,152.25
76,A arte de evoluir mais rapidamente,2878,827,54,2018,167.22
77,A certeza de atingir seus objetivos simplesmente,1511,898,80,2008,25.39
78,A arte de mudar naturalmente,3507,988,48,2018,140.17
79,O conforto de ganhar antes de tudo,3796,930,30,2015,144.05
80,A segurança de mudar com confiança,1638,867,71,2008,33.54
81,O conforto de inovar em estado puro,809,780,40,1996,138.3
82,A arte de evoluir simplesmente,4183,577,4,1996,50.5
83,A arte de avançar em estado puro,3213,955,53,2005,119.02
84,A simplicidade de ganhar com força total,2272,767,28,2020,116.58
85,A liberdade de inovar mais facilmente,279,816,77,2015,178.94
86,O conforto de atingir seus objetivos simplesmente,1180,867,56,2000,45.92
87,A segurança de atingir seus objetivos em estado puro,216,474,75,2005,107.74
88,A simplicidade de evoluir com força total,3353,691,19,2020,57.09
89,O conforto de evoluir de maneira eficaz,3653,311,61,2018,124.15
90,O poder de realizar seus sonhos direto da fonte,4256,689,16,2019,135.92
91,A liberdade de ganhar em estado puro,1904,138,2,2018,106.23
92,A simplicidade de avançar com toda a tranquilidade,4558,931,80,2019,127.47
93,O conforto de atingir seus objetivos em estado puro,2652,352,76,2000,140.29
94,A possibilidade de mudar direto da fonte,2050,99,52,2009,124.15
95,O direito de concretizar seus projetos sem preocupação,2784,22,60,2012,137.92
96,O prazer de mudar sem preocupação,2253,169,9,2007,47.7
97,A segurança de mudar de maneira eficaz,4156,83,80,2014,156.77
98,O conforto de avançar naturalmente,2484,803,32,2003,26.18
99,A vantagem de conseguir mais rapidamente,4204,514,14,1993,44.18
100,A liberdade de concretizar seus projetos em estado puro,1218,583,82,1999,35.94
101,A certeza de mudar com força total,4138,488,42,2002,147.71
102,A liberdade de atingir seus objetivos antes de tudo,3928,37,8,2006,107.02
103,A simplicidade de ganhar em estado puro,2706,571,41,2001,128.24
104,A simplicidade de evoluir com confiança,2324,954,91,2012,78.18
