cod_pagamento,cod_pedido,cod_tipo,data_pag,valor_pago
1,1,3,2025-06-25,433.2
2,2,2,2025-01-18,536.84
3,3,1,2025-04-19,198.36
4,4,3,2025-02-19,530.84
5,5,3,2023-04-21,258.33
6,6,2,2024-02-01,562.05
7,8,3,2025-05-09,117.32
8,10,1,2025-06-23,928.35
9,11,1,2022-01-16,177.12
10,13,1,2025-03-04,632.76
11,14,3,2023-08-04,564.82
12,16,1,2024-02-11,737.46
13,17,2,2022-06-29,189.27
14,18,2,2022-05-26,1024.01
15,19,2,2024-02-11,353.54
16,20,1,2024-08-31,271.22
17,23,3,2025-04-05,3773.44
18,24,2,2023-07-25,308.58
19,25,2,2025-06-22,111.28
20,27,1,2024-12-10,175.6
21,28,1,2023-12-09,814.74
22,29,3,2024-04-20,206.26
23,30,1,2025-02-25,1660.86
24,32,2,2025-03-03,1108.55
25,33,3,2023-12-26,1178.93
26,34,1,2025-06-10,1038.9
27,35,3,2023-10-20,264.4
28,36,1,2024-12-24,1012.8
29,37,1,2024-06-02,214.8
30,39,1,2024-04-09,1373.69
31,41,1,2025-04-06,301.8
32,42,1,2024-12-04,834.45
33,43,2,2025-04-08,824.85
34,45,3,2022-06-08,817.41
35,47,2,2022-03-05,392.56
36,48,1,2023-06-20,70.85
37,49,1,2024-05-19,162.12
38,50,1,2025-06-10,562.77
39,52,2,2025-04-03,206.87
40,53,1,2024-05-22,488.76
41,54,3,2025-01-13,686.64
42,55,2,2024-03-07,731.77
43,56,2,2024-05-23,566.4
44,57,1,2023-12-10,472.8
45,60,1,2024-12-13,476.85
46,61,2,2023-04-11,449.76
47,62,2,2023-11-08,792.82
48,63,1,2025-01-31,441.0
49,64,2,2025-03-24,643.88
50,65,2,2023-03-06,712.32
51,66,1,2025-06-19,716.59
52,67,2,2023-12-27,125.66
53,68,1,2025-04-08,470.67
54,70,1,2025-06-21,30.48
55,71,1,2023-04-01,679.52
56,73,2,2023-11-24,283.98
57,75,2,2024-07-08,687.88
58,76,3,2023-02-12,423.49
59,77,3,2022-12-27,862.04
60,78,1,2023-10-02,634.67
61,79,2,2024-02-09,67.66
62,80,2,2024-02-19,1459.79
63,81,3,2024-08-22,453.47
64,83,1,2023-11-26,689.36
65,84,1,2024-09-08,1027.64
66,85,2,2025-02-13,793.96
67,87,1,2025-04-09,64.26
68,88,3,2023-08-22,1800.77
69,89,2,2024-07-20,371.68
70,90,3,2023-03-06,161.65
71,91,3,2024-08-04,240.27
72,92,3,2024-11-24,69.22
73,93,1,2022-06-28,497.75
74,97,2,2022-11-28,308.72
75,98,2,2023-12-11,697.47
76,99,3,2023-01-21,769.8
77,100,3,2025-02-11,624.66
78,102,3,2025-01-09,596.25
79,103,2,2025-04-03,766.69
80,104,2,2024-05-28,413.73
81,105,1,2025-01-13,952.93
82,108,1,2025-06-24,82.28
83,109,3,2023-06-17,616.96
84,110,3,2023-09-14,106.96
85,112,2,2024-09-16,688.25
86,113,3,2023-10-15,157.65
87,114,1,2024-04-03,638.6
88,115,2,2022-03-18,435.21
89,116,3,2025-01-30,150.34
90,117,1,2023-01-09,100.94
91,118,3,2024-10-25,163.04
92,119,2,2024-01-21,574.73
93,120,3,2025-06-17,645.44
94,121,3,2025-05-15,389.55
95,122,2,2024-11-05,661.23
96,124,2,2025-05-07,357.6
97,125,2,2025-05-01,131.76
98,127,2,2024-03-16,155.75
99,128,2,2023-01-26,1463.62
100,130,2,2022-06-05,73.62
101,131,3,2022-11-26,1336.64
102,132,3,2023-07-28,693.08
103,135,1,2025-05-07,841.47
104,136,2,2022-10-12,531.78
105,137,3,2021-12-18,496.55
106,138,2,2023-11-24,1998.4
107,139,2,2025-05-02,873.36
108,140,1,2025-04-15,1361.53
109,141,1,2025-01-21,294.44
110,142,2,2025-05-25,524.83
111,143,3,2024-05-03,736.92
112,144,1,2025-04-29,1913.65
113,145,3,2025-01-09,221.28
114,146,2,2024-12-31,1142.61
115,149,1,2025-03-09,166.29
116,150,3,2025-06-18,226.78
117,151,1,2022-12-26,522.73
118,152,3,2022-08-28,682.58
119,153,2,2023-12-22,255.3
120,154,3,2024-12-10,998.44
121,155,2,2025-04-20,253.86
122,156,2,2025-04-21,991.06
123,158,3,2024-03-01,985.9
124,159,3,2024-11-04,277.22
125,160,1,2025-02-22,303.12
126,161,1,2024-03-18,569.24
127,163,3,2023-01-25,292.66
128,164,2,2024-11-29,420.25
129,165,3,2024-08-28,357.42
130,166,3,2025-03-11,454.77
131,167,1,2024-09-17,206.06
132,169,2,2024-12-23,329.67
133,170,1,2023-02-16,729.72
134,171,3,2023-02-26,887.02
135,172,2,2024-05-17,384.7
136,173,1,2024-05-20,987.31
137,174,1,2021-12-17,1245.1
