cod_pedido,cod_cliente,data_pedido,status
1,13785,2024-07-15,Pendente
2,16772,2024-04-29,Pago
3,9273,2025-04-19,Pago
4,7660,2024-02-08,Pago
5,24972,2023-02-18,Pago
6,24447,2022-01-04,Pendente
7,16387,2022-11-09,Cancelado
8,22280,2025-04-13,Pendente
9,16289,2022-05-21,Pendente
10,14540,2025-06-22,Pendente
11,3794,2021-07-12,Pendente
12,23552,2023-08-16,Pago
13,9017,2024-09-10,Cancelado
14,24480,2023-01-28,Pendente
15,21391,2022-06-19,Cancelado
16,14876,2023-01-27,Cancelado
17,11399,2022-06-25,Pendente
18,16769,2022-02-25,Pendente
19,16290,2022-08-17,Cancelado
20,10224,2022-05-24,Pago
21,4697,2022-09-17,Pendente
22,4137,2023-08-20,Pago
23,2439,2024-08-19,Pago
24,22897,2022-09-27,Pago
25,9106,2025-06-21,Pago
26,11545,2024-04-17,Cancelado
27,20384,2024-02-01,Cancelado
28,1439,2022-03-06,Pago
29,18565,2023-01-30,Cancelado
30,18298,2022-08-16,Pendente
31,22792,2024-01-14,Pendente
32,20205,2023-12-15,Cancelado
33,18826,2023-11-04,Cancelado
34,3307,2024-09-14,Cancelado
35,13327,2023-06-04,Cancelado
36,18416,2024-01-07,Cancelado
37,7952,2021-08-31,Cancelado
38,23995,2023-11-17,Pago
39,10309,2021-12-30,Cancelado
40,19778,2023-11-30,Pendente
41,7552,2025-03-10,Cancelado
42,21074,2024-12-04,Pendente
43,18736,2024-11-16,Cancelado
44,20518,2022-06-24,Pago
45,24087,2021-11-30,Cancelado
46,5206,2023-01-20,Pago
47,404,2022-02-27,Pendente
48,10454,2023-06-10,Pago
49,231,2024-03-17,Cancelado
50,24777,2023-11-09,Cancelado
51,24062,2021-08-13,Cancelado
52,1213,2023-04-19,Pendente
53,9161,2023-06-09,Cancelado
54,18109,2021-12-09,Pendente
55,3101,2022-09-26,Pago
56,11618,2023-02-06,Cancelado
57,19359,2022-03-14,Pago
58,706,2024-08-16,Pendente
59,19199,2025-02-25,Cancelado
60,15790,2023-03-03,Pendente
61,20741,2022-04-12,Cancelado
62,16740,2023-10-01,Pendente
63,24246,2024-11-28,Pendente
64,7700,2024-09-05,Pago
65,24652,2022-01-14,Pago
66,15055,2024-05-27,Pendente
67,8546,2022-11-24,Pago
68,7947,2025-01-26,Cancelado
69,648,2023-06-15,Cancelado
70,5962,2024-11-06,Pendente
71,2028,2022-01-13,Pendente
72,890,2022-12-24,Pago
73,19379,2023-03-07,Pendente
74,18495,2023-02-02,Pago
75,3052,2022-01-30,Pago
76,19566,2021-12-20,Cancelado
77,2465,2021-07-16,Pago
78,14380,2023-04-11,Pago
79,19833,2023-03-24,Pendente
80,21828,2023-09-17,Pendente
81,10799,2023-01-08,Cancelado
82,22092,2022-04-16,Pendente
83,22152,2022-10-25,Pago
84,24584,2024-02-09,Cancelado
85,4785,2022-01-20,Pago
86,12703,2022-08-12,Pendente
87,14647,2024-10-03,Pendente
88,20333,2022-01-17,Pendente
89,2085,2024-05-10,Cancelado
90,18151,2022-11-24,Pago
91,12723,2023-02-06,Pago
92,22432,2023-04-17,Cancelado
93,6169,2022-03-28,Cancelado
94,2526,2025-02-05,Pendente
95,14152,2025-01-17,Cancelado
96,4310,2022-10-10,Cancelado
97,13279,2022-02-10,Pendente
98,22985,2022-12-27,Cancelado
99,12268,2021-06-29,Pendente
100,14044,2024-09-17,Pago
101,3084,2024-09-17,Pendente
102,14507,2023-03-25,Cancelado
103,19977,2023-12-30,Cancelado
104,6372,2022-08-11,Cancelado
105,24559,2023-02-16,Cancelado
106,23653,2024-01-30,Pendente
107,3217,2023-11-20,Pendente
108,15094,2025-06-24,Pendente
109,24656,2022-01-29,Cancelado
110,24205,2022-09-15,Pago
111,7250,2025-06-19,Pago
112,19204,2024-04-16,Pago
113,16743,2022-10-24,Pago
114,9982,2022-05-12,Cancelado
115,17428,2022-01-10,Pago
116,4365,2025-01-05,Pendente
117,1752,2021-10-12,Pendente
118,16963,2024-07-15,Cancelado
119,8361,2022-06-09,Cancelado
120,6399,2023-04-24,Cancelado
121,3230,2024-05-28,Cancelado
122,8873,2021-12-24,Cancelado
123,15905,2022-10-06,Cancelado
124,19521,2024-12-15,Pendente
125,17606,2023-11-08,Cancelado
126,809,2024-11-16,Pendente
127,11498,2023-02-24,Pago
128,528,2022-07-25,Pendente
129,20267,2023-07-08,Pago
130,5347,2021-09-26,Pago
131,18737,2021-12-23,Cancelado
132,14438,2023-02-12,Pago
133,8190,2023-03-04,Cancelado
134,19546,2022-08-14,Pago
135,11577,2022-10-14,Cancelado
136,4881,2021-12-12,Pago
137,6009,2021-10-08,Cancelado
138,7160,2023-02-24,Cancelado
139,24716,2023-03-31,Cancelado
140,2531,2024-09-21,Cancelado
141,12023,2021-11-16,Pago
142,24774,2025-04-14,Cancelado
143,16038,2023-03-28,Cancelado
